,,,,,,,,,,
2020,2,9/20/20,W,"Vikings (+3)
at Colts (-3)","11
28",U 49,HF-W,Turf,"0-1
0-1","L1
L1"
2020,2,9/20/20,L,"Bills (-5½)
at Dolphins (+5½)","31
28",O 42,AF-L,Grass,"1-0
0-1","W1
L1"
2020,2,9/20/20,W,"Bills (-5½)
at Dolphins (+5½)","31
28",O 42,HD-W,Grass,"1-0
0-1","W1
L1"
2020,2,9/20/20,L,"49ers (-7)
at Jets (+7)","31
13",O 42,HD-L,Turf,"0-1
0-1","L1
L1"
2020,2,9/20/20,W,"49ers (-7)
at Jets (+7)","31
13",O 42,AF-W,Turf,"0-1
0-1","L1
L1"
2020,2,9/20/20,L,"Rams (+2)
at Eagles (-2)","37
19",O 46,HF-L,grass,"1-0
0-1","W1
L1"
2020,2,9/20/20,W,"Rams (+2)
at Eagles (-2)","37
19",O 46,AD-W,grass,"1-0
0-1","W1
L1"
2020,2,9/20/20,L,"Broncos (+6½)
at Steelers (-6½)","21
26",O 41,HF-L,Grass,"0-1
1-0","L1
W1"
2020,2,9/20/20,W,"Broncos (+6½)
at Steelers (-6½)","21
26",O 41,AD-W,Grass,"0-1
1-0","L1
W1"
2020,2,9/20/20,L,"Panthers (+7½)
at Buccaneers (-7½)","17
31",O 47,AD-L,Grass,"0-1
0-1","L1
L1"
2020,2,9/20/20,W,"Panthers (+7½)
at Buccaneers (-7½)","17
31",O 47,HF-W,Grass,"0-1
0-1","L1
L1"
2020,2,9/20/20,W,"Redskins (+7)
at Cardinals (-7)","15
30",U 46,HF-W,Grass,"1-0
1-0","W1
W1"
2020,2,9/20/20,L,"Redskins (+7)
at Cardinals (-7)","15
30",U 46,AD-L,Grass,"1-0
1-0","W1
W1"
2020,2,9/20/20,L,"Chiefs (-8)
at Chargers (+8)","23
20",U 47,AF-L,Grass,"1-0
1-0","W1
W1"
2020,2,9/20/20,W,"Chiefs (-8)
at Chargers (+8)","23
20",U 47,HD-W,Grass,"1-0
1-0","W1
W1"
2020,2,9/20/20,L,"Ravens (-7)
at Texans (+7)","33
16",U 50,HD-L,Grass,"1-0
0-1","W1
L1"
2020,2,9/20/20,W,"Ravens (-7)
at Texans (+7)","33
16",U 50,AF-W,Grass,"1-0
0-1","W1
L1"
2020,2,9/20/20,W,"Patriots (+4½)
at Seahawks (-4½)","30
35",O 45,HF-W,Turf,"1-0
1-0","W1
W1"
2020,2,9/20/20,L,"Patriots (+4½)
at Seahawks (-4½)","30
35",O 45,AD-L,Turf,"1-0
1-0","W1
W1"
2020,2,9/21/20,L,"Saints (-4)
at Raiders (+4)","24
34",O 48,AF-L,Grass,"1-0
1-0","W1
W1"
2020,2,9/21/20,W,"Saints (-4)
at Raiders (+4)","24
34",O 48,HD-W,Grass,"1-0
1-0","W1
W1"
2020,3,9/24/20,L,"Dolphins (+2½)
at Jaguars (-2½)","31
13",U 49,HF-L,Grass,"0-2
1-1","L2
L1"
2020,3,9/24/20,W,"Dolphins (+2½)
at Jaguars (-2½)","31
13",U 49,AD-W,Grass,"0-2
1-1","L2
L1"
2020,3,9/27/20,L,"Bears (+2½)
at Falcons (-2½)","30
26",O 46,HF-L,Turf,"2-0
0-2","W2
L2"
2020,3,9/27/20,W,"Bears (+2½)
at Falcons (-2½)","30
26",O 46,AD-W,Turf,"2-0
0-2","W2
L2"
2020,3,9/27/20,W,"Rams (+2)
at Bills (-2)","32
35",O 46,HF-W,Turf,"2-0
2-0","W2
W2"
2020,3,9/27/20,L,"Rams (+2)
at Bills (-2)","32
35",O 46,AD-L,Turf,"2-0
2-0","W2
W2"
2020,3,9/27/20,L,"Redskins (+7)
at Browns (-7)","20
34",O 45,AD-L,Grass,"1-1
1-1","L1
W1"
2020,3,9/27/20,W,"Redskins (+7)
at Browns (-7)","20
34",O 45,HF-W,Grass,"1-1
1-1","L1
W1"
2020,3,9/27/20,L,"Titans (-2½)
at Vikings (+2½)","31
30",O 49,AF-L,Turf,"2-0
0-2","W2
L2"
2020,3,9/27/20,W,"Titans (-2½)
at Vikings (+2½)","31
30",O 49,HD-W,Turf,"2-0
0-2","W2
L2"
2020,3,9/27/20,W,"Raiders (+7)
at Patriots (-7)","20
36",O 47,HF-W,Turf,"2-0
1-1","W2
L1"
2020,3,9/27/20,L,"Raiders (+7)
at Patriots (-7)","20
36",O 47,AD-L,Turf,"2-0
1-1","W2
L1"
2020,3,9/27/20,L,"49ers (-3)
at Giants (+3)","36
9",O 44,HD-L,Turf,"1-1
0-2","W1
L2"
2020,3,9/27/20,W,"49ers (-3)
at Giants (+3)","36
9",O 44,AF-W,Turf,"1-1
0-2","W1
L2"
2020,3,9/27/20,L,"Bengals (+5½)
at Eagles (-5½)","23
23",U 47,HF-L,grass,"0-2
0-2","L2
L2"
2020,3,9/27/20,W,"Bengals (+5½)
at Eagles (-5½)","23
23",U 47,AD-W,grass,"0-2
0-2","L2
L2"
2020,3,9/27/20,L,"Texans (+4)
at Steelers (-4)","21
28",O 46,AD-L,Grass,"0-2
2-0","L2
W2"
2020,3,9/27/20,W,"Texans (+4)
at Steelers (-4)","21
28",O 46,HF-W,Grass,"0-2
2-0","L2
W2"
2020,3,9/27/20,L,"Jets (+11½)
at Colts (-11½)","7
36",U 44,AD-L,Turf,"0-2
1-1","L2
W1"
2020,3,9/27/20,W,"Jets (+11½)
at Colts (-11½)","7
36",U 44,HF-W,Turf,"0-2
1-1","L2
W1"
2020,3,9/27/20,L,"Panthers (+6)
at Chargers (-6)","21
16",U 44,HF-L,Grass,"0-2
1-1","L2
L1"
2020,3,9/27/20,W,"Panthers (+6)
at Chargers (-6)","21
16",U 44,AD-W,Grass,"0-2
1-1","L2
L1"
2020,3,9/27/20,L,"Buccaneers (-6)
at Broncos (+6)","28
10",U 42,HD-L,Grass,"1-1
0-2","W1
L2"
2020,3,9/27/20,W,"Buccaneers (-6)
at Broncos (+6)","28
10",U 42,AF-W,Grass,"1-1
0-2","W1
L2"
