,over_under_line,offensive_defensive_rank_diff,offensive_offensive_rank_dif,offense_defense_passing_completion,offense_rushing_vs_defense_rushing_allowed_yards,defense_offense_rank_dif,QB_rating,beat_spread,target_spread,first_down_vs_first_down_allowed,first_down_allowed_vs_first_down,drives_with_score_vs_drives_against_with_score,drives_against_with_score_vs_drives_with_score,spread_to_rank_O_to_D,yards,is_favorite,target_spread_vs_points
0,51.0,8,2,-0.0014158144096686474,0.9646832485914526,-5,101.9,0,-7.0,1.0642201834862386,0.9154078549848943,-0.19106590004422824,0.7135802469135802,1.1428571428571428,5991,1,3.558809324080429e-05
1,41.0,-8,-14,-0.05587573682741409,1.1000128057369702,1,76.3,0,-7.5,0.9602446483180428,0.8731117824773413,-0.12879256965944272,0.6641975308641975,-1.0666666666666667,5688,1,4.9945060433523126e-05
2,45.5,-15,-21,0.030268447865619438,0.9093344047140752,-16,94.5,0,-4.0,1.0519877675840978,0.9033232628398792,-0.26083591331269357,0.9333333333333332,-3.75,5949,1,2.955082742316785e-05
3,48.5,-18,-24,-0.10266321668612544,1.1998527788001472,-8,74.1,0,-1.0,0.7370030581039755,0.9667673716012085,-0.758513931888545,0.7851851851851852,-18.0,4761,1,8.443093549476529e-06
4,41.5,2,-4,0.01895385651026049,1.233703524867214,2,95.4,1,-3.5,0.926605504587156,0.945619335347432,-0.335249889429456,0.674074074074074,0.5714285714285714,5299,1,2.0430201675276535e-05
5,48.5,4,-2,0.028274469237968614,1.0171306209850106,3,104.1,0,-1.0,0.9908256880733946,0.9274924471299094,-1.2260061919504646,0.7135802469135802,4.0,5728,1,5.642162753826797e-06
6,45.0,4,-2,0.028274469237968614,1.0171306209850106,3,104.1,1,3.0,0.9908256880733946,0.9274924471299094,0.40866873065015485,0.7135802469135802,-1.3333333333333333,5728,0,-1.692648826148039e-05
7,47.0,-19,-25,-0.0528678446846228,1.058864265927978,-24,84.0,0,13.0,0.9388379204892966,0.9697885196374623,0.07096927839961896,1.0345679012345679,1.4615384615384615,5311,0,-0.00011054985798595167
8,51.0,6,0,0.030335610085167275,1.169289202387412,-6,91.2,0,7.0,1.0122324159021407,0.9879154078549849,0.17912428129146396,0.7975308641975308,-0.8571428571428571,6327,0,-3.912166278244443e-05
9,48.5,6,0,0.030335610085167275,1.169289202387412,-6,91.2,1,1.0,1.0122324159021407,0.9879154078549849,1.2538699690402477,0.7975308641975308,-6.0,6327,0,-5.5888089689206334e-06
10,45.5,6,0,0.030335610085167275,1.169289202387412,-6,91.2,1,4.0,1.0122324159021407,0.9879154078549849,0.31346749226006193,0.7975308641975308,-1.5,6327,0,-2.2355235875682534e-05
11,41.5,6,0,0.030335610085167275,1.169289202387412,-6,91.2,0,3.5,1.0122324159021407,0.9879154078549849,0.3582485625829279,0.7975308641975308,-1.7142857142857142,6327,0,-1.9560831391222217e-05
12,46.5,6,0,0.030335610085167275,1.169289202387412,-6,91.2,0,3.0,1.0122324159021407,0.9879154078549849,0.4179566563467492,0.7975308641975308,-2.0,6327,0,-1.67664269067619e-05
13,48.5,6,0,0.030335610085167275,1.169289202387412,-6,91.2,1,1.0,1.0122324159021407,0.9879154078549849,1.2538699690402477,0.7975308641975308,-6.0,6327,0,-5.5888089689206334e-06
14,47.5,6,0,0.030335610085167275,1.169289202387412,-6,91.2,0,-11.5,1.0122324159021407,0.9879154078549849,-0.10903217122089111,0.7975308641975308,0.5217391304347826,6327,1,6.427130314258728e-05
15,47.0,6,0,0.030335610085167275,1.169289202387412,-6,91.2,1,-13.0,1.0122324159021407,0.9879154078549849,-0.09645153608001905,0.7975308641975308,0.46153846153846156,6327,1,7.265451659596823e-05
16,45.0,6,0,0.030335610085167275,1.169289202387412,-6,91.2,0,-3.0,1.0122324159021407,0.9879154078549849,-0.4179566563467492,0.7975308641975308,2.0,6327,1,1.67664269067619e-05
17,41.0,6,0,0.030335610085167275,1.169289202387412,-6,91.2,1,7.5,1.0122324159021407,0.9879154078549849,0.1671826625386997,0.7975308641975308,-0.8,6327,0,-4.191606726690475e-05
18,47.5,-14,-20,-0.020246401130442404,1.0155283770784664,-19,79.4,1,11.5,0.9877675840978594,0.9395770392749244,0.0896486741149549,0.9234567901234567,1.2173913043478262,5749,0,-8.288646716254398e-05
19,46.5,7,1,0.05874004212068496,1.1936842105263157,4,109.8,1,-3.0,1.0244648318042813,0.824773413897281,-0.43343653250774,0.7234567901234568,2.3333333333333335,6058,1,1.67664269067619e-05
20,49.0,28,11,-0.008568749745220372,0.990755768823654,4,101.9,1,-14.0,0.9613259668508287,0.9680511182108626,-0.08098987626546682,0.8450292397660818,2.0,5991,1,8.007320979180966e-05
21,45.0,9,-8,-0.10726150532289468,0.9911818598259275,6,85.3,1,-6.0,0.925414364640884,0.8977635782747604,-0.126421697287839,0.7982456140350876,1.5,5564,1,4.7072114479382414e-05
22,49.0,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,0,14.0,0.8646408839779005,1.156549520766773,0.0641169853768279,1.1140350877192982,-1.2142857142857142,5581,0,-9.902670891806246e-05
23,43.5,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,1,4.0,0.8646408839779005,1.156549520766773,0.22440944881889766,1.1140350877192982,-4.25,5581,0,-2.8293345405160706e-05
24,41.5,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,0,1.0,0.8646408839779005,1.156549520766773,0.8976377952755906,1.1140350877192982,-17.0,5581,0,-7.0733363512901765e-06
25,42.5,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,1,8.0,0.8646408839779005,1.156549520766773,0.11220472440944883,1.1140350877192982,-2.125,5581,0,-5.658669081032141e-05
26,47.0,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,1,5.0,0.8646408839779005,1.156549520766773,0.17952755905511814,1.1140350877192982,-3.4,5581,0,-3.536668175645088e-05
